B,E,core,sp,sum_lambda,lambda
14,0,T14_0015,-1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,0,T14_0016,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0018,-1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,0,T14_0039,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0040,-1,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,0,T14_0042,-1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,0,T14_0043,-1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,0,T14_0044,-1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,0,T14_0045,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0057,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0058,-1,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,0,T14_0059,-1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,0,T14_0248,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0
14,0,T14_0250,-1,7,0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 1 0 0 0
14,0,T14_0251,-1,7,0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1
14,0,T14_0252,-1,8,0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 2
14,0,T14_0263,-1,7,0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1
14,0,T14_0266,-1,7,0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
14,0,T14_0267,-1,11,0 0 0 0 1 0 1 1 1 2 0 0 0 0 0 1 1 1 1 1
14,0,T14_0268,-1,8,0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1
14,0,T14_0296,-1,4,0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0
14,0,T14_0297,-1,3,0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0
14,0,T14_0298,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1
14,0,T14_0304,-1,8,0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1
14,0,T14_0305,-1,9,0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 1 2 1
14,0,T14_0306,-1,9,0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 2 1 1 1
14,0,T14_0515,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0
14,0,T14_0520,-1,8,0 0 0 0 0 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0
14,0,T14_0521,-1,8,0 0 0 0 0 0 0 1 0 0 2 0 1 1 0 0 1 1 0 1
14,0,T14_0522,-1,10,0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 2 2
14,0,T14_0531,-1,8,0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 0 1 1 0 1
14,0,T14_0534,-1,8,0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 1 1 1 1
14,0,T14_0535,-1,12,0 0 0 1 0 0 1 1 2 0 2 0 0 0 0 1 1 1 1 1
14,0,T14_0536,-1,9,0 0 0 0 0 0 0 1 1 0 2 0 0 1 1 0 0 1 1 1
14,0,T14_0566,-1,4,0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0
14,0,T14_0567,-1,3,0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,0,T14_0568,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1
14,0,T14_0587,-1,10,1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 1 1
14,0,T14_0588,-1,10,0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 1 1 2 1
14,0,T14_0589,-1,11,1 0 0 0 0 0 0 0 2 0 1 1 0 0 1 0 2 1 1 1
14,0,T14_0631,-1,3,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0
14,0,T14_0633,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0634,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0639,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0640,-1,6,0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 2
14,0,T14_0642,-1,3,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0
14,0,T14_0646,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0
14,0,T14_0648,-1,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0
14,0,T14_0653,-1,6,0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0
14,0,T14_0654,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0657,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0
14,0,T14_0663,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0
14,0,T14_0666,-1,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0
14,0,T14_0669,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0670,-1,6,0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0
14,0,T14_0672,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0
14,0,T14_0677,-1,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
14,0,T14_0680,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0681,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0683,-1,6,0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2
14,0,T14_0684,-1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0687,-1,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
14,0,T14_0727,-1,2,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14,0,T14_0731,-1,2,0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
14,0,T14_0732,-1,9,0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1
14,0,T14_0736,-1,7,0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 1
14,0,T14_0762,-1,3,0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0
14,0,T14_0763,-1,10,0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 1 0 1 1 1
