PARTITION cases=46 unique=46 dup=0 cert=46 cert_unique=46 cert_dup=0 missing=0 extra=0
CASE 0 14,0 T14_0535 sp=-1 budget=12 y=16 longest=3 pair=8,18 word=12 12 11 
CASE 1 14,0 T14_0788 sp=-1 budget=12 y=16 longest=3 pair=13,19 word=13 10 11 
CASE 2 14,0 T14_0792 sp=-1 budget=12 y=16 longest=3 pair=13,19 word=13 10 11 
CASE 3 14,0 T14_0814 sp=-1 budget=13 y=16 longest=3 pair=13,19 word=13 10 11 
CASE 4 14,0 T14_0822 sp=-1 budget=13 y=16 longest=3 pair=13,19 word=13 10 11 
CASE 5 14,1 T14_0267 sp=0 budget=14 y=17 longest=3 pair=9,18 word=12 12 11 
CASE 6 14,1 T14_0535 sp=1 budget=14 y=17 longest=3 pair=8,18 word=12 12 11 
CASE 7 14,1 T14_0788 sp=0 budget=15 y=17 longest=3 pair=13,19 word=13 10 11 
CASE 8 14,1 T14_0788 sp=6 budget=14 y=17 longest=3 pair=13,19 word=13 10 11 
CASE 9 14,1 T14_0792 sp=0 budget=15 y=17 longest=3 pair=13,19 word=13 10 11 
CASE 10 14,1 T14_0792 sp=6 budget=14 y=17 longest=3 pair=13,19 word=13 10 11 
CASE 11 14,1 T14_0814 sp=1 budget=15 y=17 longest=3 pair=13,19 word=13 10 11 
CASE 12 14,1 T14_0814 sp=2 budget=14 y=17 longest=3 pair=8,15 word=11 8 2 
CASE 13 14,1 T14_0822 sp=1 budget=15 y=17 longest=3 pair=13,19 word=13 10 11 
CASE 14 14,1 T14_0822 sp=4 budget=14 y=17 longest=3 pair=11,15 word=11 8 4 
CASE 15 15,0 T15_0119 sp=-1 budget=3 y=16 longest=2 pair=4,10 word=5 0 
CASE 16 15,0 T15_0127 sp=-1 budget=3 y=16 longest=2 pair=4,8 word=5 0 
CASE 17 15,0 T15_0136 sp=-1 budget=3 y=16 longest=2 pair=9,20 word=10 8 
CASE 18 15,0 T15_0155 sp=-1 budget=4 y=16 longest=2 pair=4,10 word=5 0 
CASE 19 15,0 T15_0160 sp=-1 budget=4 y=16 longest=2 pair=4,8 word=5 0 
CASE 20 15,0 T15_0164 sp=-1 budget=3 y=16 longest=2 pair=14,20 word=12 9 
CASE 21 15,0 T15_0167 sp=-1 budget=4 y=16 longest=2 pair=4,10 word=5 0 
CASE 22 15,1 T15_0100 sp=0 budget=5 y=17 longest=2 pair=2,4 word=0 5 
CASE 23 15,1 T15_0100 sp=8 budget=5 y=17 longest=2 pair=8,17 word=8 9 
CASE 24 15,1 T15_0102 sp=0 budget=5 y=17 longest=2 pair=2,4 word=0 5 
CASE 25 15,1 T15_0102 sp=8 budget=5 y=17 longest=2 pair=9,17 word=8 9 
CASE 26 15,1 T15_0119 sp=1 budget=5 y=17 longest=2 pair=1,6 word=1 5 
CASE 27 15,1 T15_0119 sp=8 budget=6 y=17 longest=2 pair=4,10 word=5 0 
CASE 28 15,1 T15_0119 sp=12 budget=5 y=17 longest=2 pair=4,10 word=5 0 
CASE 29 15,1 T15_0127 sp=1 budget=5 y=17 longest=2 pair=1,6 word=1 5 
CASE 30 15,1 T15_0127 sp=8 budget=6 y=17 longest=2 pair=4,8 word=5 0 
CASE 31 15,1 T15_0127 sp=12 budget=5 y=17 longest=2 pair=4,8 word=5 0 
CASE 32 15,1 T15_0136 sp=0 budget=6 y=17 longest=2 pair=2,4 word=0 5 
CASE 33 15,1 T15_0136 sp=6 budget=5 y=17 longest=2 pair=5,10 word=6 6 
CASE 34 15,1 T15_0136 sp=9 budget=5 y=17 longest=2 pair=8,19 word=9 10 
CASE 35 15,1 T15_0155 sp=1 budget=6 y=17 longest=2 pair=1,6 word=1 5 
CASE 36 15,1 T15_0155 sp=9 budget=6 y=17 longest=2 pair=4,10 word=5 0 
CASE 37 15,1 T15_0160 sp=1 budget=6 y=17 longest=2 pair=1,6 word=1 5 
CASE 38 15,1 T15_0160 sp=9 budget=6 y=17 longest=2 pair=4,8 word=5 0 
CASE 39 15,1 T15_0163 sp=0 budget=5 y=17 longest=2 pair=2,4 word=0 5 
CASE 40 15,1 T15_0163 sp=9 budget=5 y=17 longest=2 pair=8,14 word=9 11 
CASE 41 15,1 T15_0164 sp=0 budget=6 y=17 longest=2 pair=2,4 word=0 5 
CASE 42 15,1 T15_0164 sp=6 budget=5 y=17 longest=2 pair=5,10 word=6 6 
CASE 43 15,1 T15_0164 sp=11 budget=5 y=17 longest=2 pair=8,14 word=9 11 
CASE 44 15,1 T15_0167 sp=1 budget=6 y=17 longest=2 pair=1,6 word=1 5 
CASE 45 15,1 T15_0167 sp=11 budget=6 y=17 longest=2 pair=4,10 word=5 0 
PASS RANGE 0 46 states=207279 attempts=2410319 closures=197268
SECTOR 14,0 cases=5 max_budget=13 y=16
SECTOR 14,1 cases=10 max_budget=15 y=17
SECTOR 15,0 cases=7 max_budget=4 y=16
SECTOR 15,1 cases=24 max_budget=6 y=17
