idx,B,E,core,sp,mu_dot_t,lambda_sum,mu,lambda
0,8,0,D6_B8_0002,-1,7,6,1 1 0 0 1 1 0 0,1 1 0 1 0 0 1 1 0 1
1,8,1,D6_B8_0002,0,8,7,1 1 0 0 1 1 0 0,1 1 0 1 0 0 1 1 1 1
2,8,1,D6_B8_0002,1,7,6,0 1 0 0 1 1 0 0,1 1 0 1 0 0 1 1 0 1
3,8,1,D6_B8_0002,2,7,6,1 1 0 0 1 1 0 0,1 1 0 1 0 0 1 1 0 1
4,8,1,D6_B8_0002,3,7,6,1 1 0 0 1 1 0 0,1 1 0 1 0 0 1 1 0 1
5,8,1,D6_B8_0002,4,7,6,0 0 0 0 1 1 1 0,1 0 1 0 1 0 1 1 1 0
6,8,1,D6_B8_0002,5,7,6,0 0 0 0 1 1 1 0,1 0 1 0 1 0 1 1 1 0
7,8,1,D6_B8_0002,6,7,6,0 0 0 0 1 1 1 0,1 0 1 0 1 0 1 1 1 0
8,8,1,D6_B8_0002,7,8,7,0 0 0 0 1 1 0 1,1 1 1 0 1 0 1 1 1 0
9,8,1,D6_B8_0003,2,7,6,1 0 0 0 0 0 1 1,0 1 1 1 1 1 0 0 0 1
10,8,0,D6_B8_0004,-1,8,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
11,8,1,D6_B8_0004,0,9,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
12,8,1,D6_B8_0004,1,9,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
13,8,1,D6_B8_0004,2,8,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
14,8,1,D6_B8_0004,3,8,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
15,8,1,D6_B8_0004,4,9,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
16,8,1,D6_B8_0004,5,9,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
17,8,1,D6_B8_0004,6,8,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
18,8,1,D6_B8_0004,7,8,7,1 1 0 0 1 1 0 0,1 1 1 1 0 1 1 0 1 0
19,8,1,D6_B8_0005,0,4,2,0 1 0 0 1 0 0 0,0 0 0 0 0 1 0 0 1 0
20,8,0,D6_B8_0006,-1,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
21,8,1,D6_B8_0006,0,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
22,8,1,D6_B8_0006,1,4,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
23,8,1,D6_B8_0006,2,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
24,8,1,D6_B8_0006,3,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
25,8,1,D6_B8_0006,4,3,2,0 0 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
26,8,1,D6_B8_0006,5,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
27,8,1,D6_B8_0006,6,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
28,8,1,D6_B8_0006,7,3,2,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 0 1 0
29,8,0,D6_B8_0007,-1,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
30,8,1,D6_B8_0007,0,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
31,8,1,D6_B8_0007,1,5,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
32,8,1,D6_B8_0007,2,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
33,8,1,D6_B8_0007,3,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
34,8,1,D6_B8_0007,4,5,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
35,8,1,D6_B8_0007,5,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
36,8,1,D6_B8_0007,6,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
37,8,1,D6_B8_0007,7,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 1 0 1 0
38,8,0,D6_B8_0008,-1,4,3,0 1 0 0 1 0 0 0,0 0 0 0 1 0 0 1 1 0
39,8,1,D6_B8_0008,0,5,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 0 1 1
40,8,1,D6_B8_0008,1,6,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 1 1 0
41,8,1,D6_B8_0008,2,5,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 0 1 1
42,8,1,D6_B8_0008,3,5,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 0 1 1
43,8,1,D6_B8_0008,4,5,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 0 1 1
44,8,1,D6_B8_0008,5,5,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 0 1 1
45,8,1,D6_B8_0008,6,5,3,0 1 0 0 0 0 0 1,0 0 0 0 1 0 0 1 1 0
46,8,1,D6_B8_0008,7,4,3,0 0 0 0 0 0 0 1,0 0 0 0 1 0 0 1 1 0
47,8,0,D6_B8_0009,-1,5,4,0 0 0 0 1 0 0 1,0 1 0 0 1 1 0 1 0 0
48,8,1,D6_B8_0009,0,5,4,0 0 0 0 1 0 0 1,0 1 0 0 1 1 0 1 0 0
49,8,1,D6_B8_0009,1,5,4,0 0 0 0 1 0 0 1,0 1 0 0 1 1 0 1 0 0
50,8,1,D6_B8_0009,2,5,4,0 0 1 1 0 0 0 0,0 0 0 0 0 1 0 1 1 1
51,8,1,D6_B8_0009,3,5,4,0 0 0 1 1 0 0 0,0 1 0 0 1 1 0 1 0 0
52,8,1,D6_B8_0009,4,5,4,0 0 0 1 1 0 0 0,0 0 0 0 1 1 0 1 0 1
53,8,1,D6_B8_0009,5,5,4,0 0 0 0 1 0 0 1,0 1 0 0 1 1 0 1 0 0
54,8,1,D6_B8_0009,6,5,4,0 0 0 1 0 0 0 1,0 1 0 0 1 1 0 1 0 0
55,8,1,D6_B8_0009,7,6,4,0 0 0 1 0 0 0 1,0 1 0 0 1 1 0 1 0 0
56,8,0,D6_B8_0010,-1,5,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
57,8,1,D6_B8_0010,0,5,4,0 0 0 0 1 0 0 1,0 1 0 0 0 0 1 1 1 0
58,8,1,D6_B8_0010,1,5,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
59,8,1,D6_B8_0010,2,5,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
60,8,1,D6_B8_0010,3,5,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
61,8,1,D6_B8_0010,4,6,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
62,8,1,D6_B8_0010,5,5,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
63,8,1,D6_B8_0010,6,5,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
64,8,1,D6_B8_0010,7,6,4,0 0 0 0 1 0 0 1,1 1 0 0 0 0 1 0 1 0
65,8,0,D6_B8_0011,-1,5,4,1 0 0 1 1 0 0 0,0 1 0 0 1 0 0 1 1 0
66,8,1,D6_B8_0011,0,6,4,1 0 0 1 1 0 0 0,0 1 0 0 1 0 0 1 1 0
67,8,1,D6_B8_0011,1,5,4,1 0 0 1 1 0 0 0,0 1 0 0 1 0 0 1 1 0
