B,E,core,sp,sum_lambda,lambda
9,1,D6_B9_0000,0,2,"0 0 0 1 1 0 0 0 0 0 0 0"
9,0,D6_B9_0001,-1,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,0,5,"0 0 0 0 2 0 0 0 0 2 0 1"
9,1,D6_B9_0001,1,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,2,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,3,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,4,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,5,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,6,4,"0 0 0 0 1 0 0 0 0 2 0 1"
9,1,D6_B9_0001,7,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0001,8,2,"0 0 0 0 1 0 0 0 0 0 0 1"
9,0,D6_B9_0002,-1,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,0,4,"0 0 0 0 2 0 0 0 0 2 0 0"
9,1,D6_B9_0002,1,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,2,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,3,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,4,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,5,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,6,3,"0 0 0 0 1 0 0 0 0 2 0 0"
9,1,D6_B9_0002,7,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0002,8,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,0,D6_B9_0003,-1,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,0,4,"0 0 0 0 2 0 0 0 2 0 0 0"
9,1,D6_B9_0003,1,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,2,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,3,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,4,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,5,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,6,3,"0 0 0 0 1 0 0 0 2 0 0 0"
9,1,D6_B9_0003,7,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,1,D6_B9_0003,8,1,"0 0 0 0 1 0 0 0 0 0 0 0"
9,0,D6_B9_0004,-1,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,0,5,"0 0 0 0 1 1 1 0 1 0 1 0"
9,1,D6_B9_0004,1,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,2,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,3,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,4,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,5,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,6,4,"0 0 0 0 1 0 0 0 2 0 1 0"
9,1,D6_B9_0004,7,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,1,D6_B9_0004,8,2,"0 0 0 0 1 0 0 0 0 0 1 0"
9,0,D6_B9_0005,-1,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,0,3,"0 0 0 0 2 0 0 0 0 0 0 1"
9,1,D6_B9_0005,1,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,2,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,3,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,4,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,5,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,6,3,"0 0 0 0 2 0 0 0 0 0 0 1"
9,1,D6_B9_0005,7,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,1,D6_B9_0005,8,3,"0 0 1 0 1 0 0 0 0 0 0 1"
9,0,D6_B9_0006,-1,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0006,0,2,"0 0 0 0 0 2 0 0 0 0 0 0"
9,1,D6_B9_0006,1,5,"0 2 0 0 0 1 0 0 0 2 0 0"
9,1,D6_B9_0006,2,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0006,3,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0006,4,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0006,5,3,"0 0 0 0 0 1 0 0 0 2 0 0"
9,1,D6_B9_0006,6,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0006,7,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0006,8,1,"0 0 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0007,1,3,"0 0 0 0 0 0 1 0 0 2 0 0"
9,0,D6_B9_0008,-1,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,0,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,1,4,"0 2 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,2,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,3,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,4,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,5,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,6,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,7,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,1,D6_B9_0008,8,2,"0 0 0 0 0 0 0 0 0 2 0 0"
9,0,D6_B9_0009,-1,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,0,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,1,5,"0 2 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,2,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,3,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,4,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,5,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,6,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,7,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,1,D6_B9_0009,8,3,"0 0 0 0 0 0 0 0 2 0 1 0"
9,0,D6_B9_0010,-1,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,0,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,1,4,"0 2 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,2,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,3,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,4,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,5,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,6,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,7,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0010,8,2,"0 0 0 0 0 0 0 0 2 0 0 0"
9,0,D6_B9_0011,-1,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,0,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,1,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,2,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,3,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,4,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,5,4,"0 2 0 0 0 0 0 0 2 0 0 0"
9,1,D6_B9_0011,6,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,7,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,1,D6_B9_0011,8,1,"0 0 0 0 0 0 0 0 0 0 0 1"
9,0,D6_B9_0015,-1,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,0,11,"1 1 1 1 1 1 0 1 1 1 1 1"
9,1,D6_B9_0015,1,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,2,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,3,11,"1 1 1 1 0 1 1 1 1 1 1 1"
9,1,D6_B9_0015,4,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,5,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,6,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,7,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0015,8,10,"1 1 1 1 0 1 0 1 1 1 1 1"
9,1,D6_B9_0016,3,7,"1 0 1 1 0 0 0 0 2 2 0 0"
9,0,D6_B9_0017,-1,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,0,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,1,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,2,8,"1 0 2 1 1 0 0 0 1 0 1 1"
9,1,D6_B9_0017,3,9,"1 0 1 1 1 0 0 0 2 0 2 1"
9,1,D6_B9_0017,4,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,5,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,6,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,7,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,1,D6_B9_0017,8,8,"1 0 1 1 1 0 0 0 2 0 1 1"
9,0,D6_B9_0018,-1,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,0,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,1,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,2,10,"1 1 1 0 0 1 1 1 1 1 1 1"
9,1,D6_B9_0018,3,10,"1 1 1 0 1 1 1 0 1 1 1 1"
9,1,D6_B9_0018,4,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,5,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,6,10,"1 1 1 1 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,7,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0018,8,9,"1 1 1 0 0 1 1 0 1 1 1 1"
9,1,D6_B9_0019,0,3,"0 0 2 0 0 0 0 0 0 1 0 0"
9,0,D6_B9_0020,-1,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,0,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,1,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,2,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,3,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,4,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,5,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,6,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,7,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,1,D6_B9_0020,8,2,"0 0 0 0 1 0 0 0 1 0 0 0"
9,0,D6_B9_0021,-1,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,0,8,"1 0 1 0 1 1 1 0 0 2 0 1"
9,1,D6_B9_0021,1,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,2,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,3,9,"1 0 1 0 1 1 1 0 0 2 1 1"
9,1,D6_B9_0021,4,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,5,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,6,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,7,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0021,8,7,"1 0 1 1 0 1 1 0 0 2 0 0"
9,1,D6_B9_0022,0,8,"0 1 0 0 0 1 1 2 1 1 0 1"
9,0,D6_B9_0023,-1,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,0,5,"0 1 0 0 0 1 0 0 1 1 0 1"
9,1,D6_B9_0023,1,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,2,5,"0 1 0 0 0 1 0 0 1 1 0 1"
9,1,D6_B9_0023,3,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,4,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,5,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,6,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,7,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,1,D6_B9_0023,8,3,"0 0 0 0 0 0 0 0 1 2 0 0"
9,0,D6_B9_0024,-1,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,0,5,"0 1 0 0 0 2 0 1 0 0 1 0"
9,1,D6_B9_0024,1,3,"0 2 0 0 0 1 0 0 0 0 0 0"
9,1,D6_B9_0024,2,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,3,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,4,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,5,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,6,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,7,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0024,8,3,"0 2 0 0 0 0 1 0 0 0 0 0"
9,1,D6_B9_0025,1,5,"0 1 0 1 1 0 0 0 1 1 0 0"
9,0,D6_B9_0026,-1,9,"0 1 2 1 1 1 0 0 1 1 0 1"
9,1,D6_B9_0026,0,9,"0 1 2 1 1 1 0 0 1 1 0 1"
9,1,D6_B9_0026,1,9,"0 1 2 1 1 1 0 0 1 1 0 1"
9,1,D6_B9_0026,2,9,"0 1 2 1 1 1 0 0 1 1 0 1"
9,1,D6_B9_0026,3,9,"0 1 2 1 1 1 0 0 1 1 0 1"
9,1,D6_B9_0026,4,9,"0 1 2 1 1 1 0 0 1 1 0 1"
9,1,D6_B9_0026,5,9,"0 1 2 1 1 1 0 0 1 1 0 1"
